,Countries,# of Reactions,Income Level
0,Congo,2731.0,Low income
1,Kazakhstan,1526.0,Upper middle income
2,Cote,654.0,Lower middle income
3,Lao,3578.0,Lower middle income
4,Iceland,1095.0,High income
5,Oman,5646.0,High income
6,Philippines,2054.0,Lower middle income
7,Spain,3335.0,High income
8,Netherlands,4298.0,High income
9,Panama,1164.0,Upper middle income
10,United Arab Emirates,2701.0,High income
11,Bahrain,274.0,High income
12,North Macedonia,1215.0,Upper middle income
13,Chad,3708.0,Low income
14,Greece,2990.0,High income
15,Malawi,1165.0,Low income
16,Australia,2517.0,High income
17,Sudan,2480.0,Low income
18,Ireland,2571.0,High income
19,New Zealand,3457.0,High income
20,Bahamas,1875.0,High income
21,Saudi Arabia,2833.0,High income
22,Turkey,2495.0,Upper middle income
23,Bolivia,1086.0,Lower middle income
24,Uruguay,7205.0,High income
25,Tanzania,2754.0,Lower middle income
26,Georgia,3855.0,Upper middle income
27,Tunisia,1292.0,Lower middle income
28,Afghanistan,2966.0,Low income
29,West Bank and Gaza,6860.0,Lower middle income
30,Kuwait,2004.0,High income
31,Malaysia,2728.0,Upper middle income
32,Romania,1452.0,Upper middle income
33,Italy,4161.0,High income
34,Croatia,2922.0,High income
35,Eritrea,6419.0,Low income
36,Lebanon,6700.0,Upper middle income
37,Belgium,2089.0,High income
38,Azerbaijan,3512.0,Upper middle income
39,Guinea,2037.0,Low income
40,Thailand,9112.0,Upper middle income
41,Cuba,2142.0,Upper middle income
42,Brazil,3321.0,Upper middle income
43,Myanmar,4316.0,Lower middle income
44,"None, United States",7569.0,
45,Norway,2524.0,High income
46,"None, Korea, Dem",1832.0,
47,Uganda,3660.0,Low income
48,Canada,3477.0,High income
49,Zimbabwe,4308.0,Lower middle income
50,Venezuela,1685.0,Not classified
51,Egypt,2172.0,Lower middle income
52,Cambodia,3949.0,Lower middle income
53,Algeria,1826.0,Lower middle income
54,Singapore,1114.0,High income
55,Sri Lanka,6735.0,Lower middle income
56,Jordan,4035.0,Upper middle income
57,Kenya,1705.0,Lower middle income
58,Israel,4352.0,High income
59,Portugal,6762.0,High income
60,Yemen,1756.0,Low income
61,Syria,4164.0,Low income
62,United Kingdom,3907.0,High income
63,"Korea, Dem",3276.0,Low income
64,Jamaica,2135.0,Upper middle income
65,Libya,1687.0,Upper middle income
66,Channel Islands,5417.0,High income
67,Botswana,3256.0,Upper middle income
68,Armenia,3512.0,Upper middle income
69,Czech Republic,2135.0,High income
70,Taiwan,18046.0,High income
71,Finland,2294.0,High income
72,India,3972.0,Lower middle income
73,Burkina Faso,3081.0,Low income
74,Pakistan,3206.0,Lower middle income
75,France,3844.0,High income
76,"Korea, Rep.",3051.0,High income
77,Bulgaria,1469.0,Upper middle income
78,Monaco,522.0,High income
79,Iran,3353.0,Lower middle income
80,Madagascar,1220.0,Low income
81,Denmark,2714.0,High income
82,South Africa,2737.0,Aggregates
83,None,4374.0,
84,Burundi,6888.0,Low income
85,Mexico,1892.0,Upper middle income
86,Indonesia,4189.0,Lower middle income
87,United States,4202.0,High income
88,Barbados,1335.0,High income
89,Nigeria,1515.0,Lower middle income
90,Haiti,4406.0,Lower middle income
91,Lithuania,2253.0,High income
92,Bangladesh,1445.0,Lower middle income
93,Sweden,1670.0,High income
94,Switzerland,2348.0,High income
95,Mali,5143.0,Low income
96,Nepal,10358.0,Lower middle income
97,Vietnam,4453.0,Lower middle income
98,Germany,3329.0,High income
99,Russia,2781.0,Upper middle income
100,Argentina,7805.0,Upper middle income
101,Poland,2951.0,High income
102,Peru,4545.0,Upper middle income
103,Iraq,2648.0,Upper middle income
104,Ukraine,2197.0,Lower middle income
105,Ethiopia,3328.0,Low income
106,Austria,2169.0,High income
107,Ecuador,9350.0,Upper middle income
108,Japan,2233.0,High income
109,Somalia,1200.0,Low income
110,Chile,2926.0,High income
111,China,4196.0,Upper middle income
