,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,context_annotations,created_at,id,public_metrics,tweet text,# likes,# retweets,# replies,# quotes,links,# Reactions,Countries from text,Link Text,Final Countries,Income Level
0,0,0,0,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-19 11:37:15+00:00,1.47E+18,"{'retweet_count': 61, 'reply_count': 48, 'like_count': 214, 'quote_count': 21}",A sixth child has died after wind lifted up a bouncy castle at a school event in Australia late last week,214,61,48,21,https://t.co/BoHm10V4YK,344,['Australia'],,['Australia'],[]
1,1,1,1,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '871795678447456256', 'name': 'The White House', 'description': 'Conversation from and about the White House, both as a destination and as political voice'}}]",2021-12-18 19:34:48+00:00,1.47E+18,"{'retweet_count': 170, 'reply_count': 315, 'like_count': 736, 'quote_count': 59}","Biden will make an Omicron-focused speech Tuesday, a White House official says, as US contends with rising Covid cases, deaths and hospitalizations ",736,170,315,59,https://t.co/DkNqzBWPUa,1280,['US'],,['United States'],[]
2,2,2,2,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-18 19:12:22+00:00,1.47E+18,"{'retweet_count': 278, 'reply_count': 163, 'like_count': 1031, 'quote_count': 73}","The Netherlands will impose strict lockdown measures to curb Omicron spread starting tomorrow, prime minister says ",1031,278,163,73,https://t.co/KUyAeKf1TH,1545,['Netherlands'],,['Netherlands'],[]
3,3,3,3,"[{'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-18 16:41:22+00:00,1.47E+18,"{'retweet_count': 389, 'reply_count': 113, 'like_count': 1021, 'quote_count': 56}",Paris cancels New Year’s fireworks display over the Champs-Elysées due to a renewed coronavirus surge. Follow live Covid updates ,1021,389,113,56,https://t.co/fHZKffuyby,1579,['Paris'],,['France'],[]
4,4,4,4,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1012379768786857985', 'name': 'Rahm Emanuel', 'description': 'Mayor of Chicago Rahm Emanuel'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1012379768786857985', 'name': 'Rahm Emanuel', 'description': 'Mayor of Chicago Rahm Emanuel'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '877326946253684737', 'name': 'United States Senate', 'description': 'United States Senate'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}]",2021-12-18 16:19:17+00:00,1.47E+18,"{'retweet_count': 122, 'reply_count': 92, 'like_count': 953, 'quote_count': 45}",Senate confirms Rahm Emanuel as US ambassador to Japan and more than three dozen other Biden nominees to ambassador posts ,953,122,92,45,https://t.co/S6TSfDZz5i,1212,"['US', 'Japan']",,"['United States', 'Japan']",[]
5,5,5,5,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-18 01:00:03+00:00,1.47E+18,"{'retweet_count': 234, 'reply_count': 168, 'like_count': 1557, 'quote_count': 31}","An appeals court says the Biden administration can enforce vaccine rules for large employers, lifting an order that had blocked them",1557,234,168,31,https://t.co/yEXvcxzd93,1990,[],,[''],[]
6,6,6,6,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10024011845', 'name': 'U.S. Marine Corps'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538847302041600', 'name': 'Community Health', 'description': 'Community Health'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '920768310152593408', 'name': 'Common Medication', 'description': 'Common Medication'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-18 00:45:51+00:00,1.47E+18,"{'retweet_count': 454, 'reply_count': 568, 'like_count': 3808, 'quote_count': 93}",The US Marine Corps has discharged 103 service members for refusing to take the Covid-19 vaccine,3808,454,568,93,https://t.co/hLLiYeFqJP,4923,['US'],,['United States'],[]
7,7,7,7,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596740190208', 'name': 'CPG'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752773120', 'name': 'Pharma'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10032761422', 'name': 'Pfizer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-17 21:21:35+00:00,1.47E+18,"{'retweet_count': 374, 'reply_count': 383, 'like_count': 776, 'quote_count': 151}","Pfizer says trials of its vaccine in children age 2-5 show it did not provide the expected immunity, and it is adding a third dose to the regimen",776,374,383,151,https://t.co/21poomdOcb,1684,[],,[''],[]
8,8,8,8,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1278685520197898240', 'name': 'Ghislaine Maxwell'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1278686104699285505', 'name': 'Jeffrey Epstein'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-17 21:12:18+00:00,1.47E+18,"{'retweet_count': 128, 'reply_count': 95, 'like_count': 311, 'quote_count': 24}","Ghislaine Maxwell, a close confidante of Jeffrey Epstein, says she will not take the stand to testify in her defense during her sex trafficking conspiracy trial",311,128,95,24,https://t.co/hRh0wnHbEF,558,[],,['United States'],[]
9,9,9,9,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-12-17 20:06:06+00:00,1.47E+18,"{'retweet_count': 58, 'reply_count': 31, 'like_count': 198, 'quote_count': 6}","At least 12 people have died in flash floods caused by heavy rains overnight in northern and northeastern Iraq, mayor says",198,58,31,6,https://t.co/ttWFPM4sW1,293,['Iraq'],,['Iraq'],[]
