,Countries,# of Reactions,Income Level
0,,2978.0,High income
1,Qatar,2554.0,High income
2,Georgia,3718.0,Upper middle income
3,Ghana,318.0,Lower middle income
4,Egypt,1997.0,Lower middle income
5,Belgium,2464.0,High income
6,Yemen,2192.0,Low income
7,Philippines,847.0,Lower middle income
8,Vatican City,996.0,
9,Lao,1086.0,Lower middle income
10,Albania,461.0,Upper middle income
11,Spain,992.0,High income
12,Taiwan,1744.0,High income
13,New Zealand,1733.0,High income
14,Dominican Republic,1010.0,Upper middle income
15,Timor-Leste,635.0,Lower middle income
16,Czech,1097.0,High income
17,Burkina Faso,899.0,Low income
18,Sweden,2124.0,High income
19,None,3406.0,
20,Iran,1363.0,Lower middle income
21,Russia,2520.0,Upper middle income
22,Tanzania,1372.0,Lower middle income
23,Australia,1592.0,High income
24,Tunisia,423.0,Lower middle income
25,Nigeria,2232.0,Lower middle income
26,Ireland,5134.0,High income
27,Democratic Republic of Congo,986.0,
28,Japan,2105.0,High income
29,"Korea, Rep.",1387.0,High income
30,Belarus,1344.0,Upper middle income
31,Ethiopia,1113.0,Low income
32,West Bank and Gaza,3135.0,Lower middle income
33,Indonesia,4031.0,Lower middle income
34,Guinea,317.0,Low income
35,France,1015.0,High income
36,Turkey,996.0,Upper middle income
37,Iraq,1969.0,Upper middle income
38,Canada,2011.0,High income
39,Denmark,6620.0,High income
40,Peru,2612.0,Upper middle income
41,Bangladesh,634.0,Lower middle income
42,Zambia,1051.0,Lower middle income
43,South Africa,1815.0,Aggregates
44,Italy,2116.0,High income
45,Kenya,1152.0,Lower middle income
46,Nicaragua,627.0,Lower middle income
47,Ukraine,1966.0,Lower middle income
48,India,1607.0,Lower middle income
49,Austria,1356.0,High income
50,Guatemala,784.0,Upper middle income
51,Afghanistan,2214.0,Low income
52,Portugal,2662.0,High income
53,Cuba,1422.0,Upper middle income
54,Jordan,534.0,Upper middle income
55,Equatorial Guinea,360.0,Upper middle income
56,Somalia,990.0,Low income
57,Israel,1662.0,High income
58,Haiti,1607.0,Lower middle income
59,Finland,4611.0,High income
60,Cote,419.0,Lower middle income
61,Brazil,2092.0,Upper middle income
62,"Korea, Dem",1245.0,Low income
63,Pakistan,1947.0,Lower middle income
64,Lebanon,738.0,Upper middle income
65,Thailand,876.0,Upper middle income
66,Syria,2032.0,Low income
67,Greece,1200.0,High income
68,Chad,1245.0,Low income
69,Switzerland,2476.0,High income
70,United States,2640.0,High income
71,Uganda,1894.0,Low income
72,China,1857.0,Upper middle income
73,Iceland,4327.0,High income
74,Mexico,2469.0,Upper middle income
75,Argentina,1548.0,Upper middle income
76,Saudi Arabia,1490.0,High income
77,Ecuador,612.0,Upper middle income
78,Sudan,1649.0,Low income
79,United Kingdom,1714.0,High income
80,El Salvador,1440.0,Lower middle income
81,Netherlands,3065.0,High income
82,Barbados,544.0,High income
83,Germany,1304.0,High income
84,Myanmar,2237.0,Lower middle income
85,United Arab Emirates,1041.0,High income
86,Norway,1676.0,High income
87,Jamaica,5372.0,Upper middle income
